"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",521,26,470,571,"Filter 5"
"2","Non-Local Basin",456,19,419,493,"Filter 5"
"3","Local Sub Basin",439,19,401,477,"Filter 5"
"4","Non-Local  Sub Basin",403,15,373,432,"Filter 5"
