"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",506,25,458,555,"Filter 1"
"2","Non-Local Basin",441,18,406,475,"Filter 1"
"3","Local Sub Basin",425,18,389,461,"Filter 1"
"4","Non-Local  Sub Basin",389,14,361,417,"Filter 1"
