"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",524,24,477,571,"Filter 3"
"2","Non-Local Basin",472,20,434,511,"Filter 3"
"3","Local Sub Basin",460,21,420,501,"Filter 3"
"4","Non-Local  Sub Basin",420,17,387,454,"Filter 3"
