"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",524,24,477,571,"Filter 4"
"2","Non-Local Basin",475,19,437,514,"Filter 4"
"3","Local Sub Basin",464,20,424,504,"Filter 4"
"4","Non-Local  Sub Basin",423,17,391,456,"Filter 4"
