"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",147,40,68,225,"Filter 1",1581
"2","Non-Local Basin",114,27,61,167,"Filter 1",1581
"3","Local Sub Basin",102,27,50,154,"Filter 1",1581
"4","Non-Local  Sub Basin",86,18,50,122,"Filter 1",1581
