"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",534,25,485,583,"Filter 2"
"2","Non-Local Basin",484,21,444,525,"Filter 2"
"3","Local Sub Basin",477,21,435,518,"Filter 2"
"4","Non-Local  Sub Basin",432,18,397,466,"Filter 2"
