"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",519,24,472,566,"full sample"
"2","Non-Local Basin",470,20,431,508,"full sample"
"3","Local Sub Basin",459,20,419,499,"full sample"
"4","Non-Local  Sub Basin",418,17,385,451,"full sample"
