"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",173,48,79,266,"Filter 4",1262
"2","Non-Local Basin",149,34,82,215,"Filter 4",1262
"3","Local Sub Basin",112,30,53,172,"Filter 4",1262
"4","Non-Local  Sub Basin",103,22,60,146,"Filter 4",1262
